path,chroma_stft,rms,spec_cent_mean,spec_cent_std,spec_cent_skew,spectral_bandwidth,rolloff,rolloff_std,rolloff_skew,zero_crossing_rate,tonnetz,log_power,fourier,tempogram,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc_std1,mfcc_std2,mfcc_std3,mfcc_std4,mfcc_std5,mfcc_std6,mfcc_std7,mfcc_std8,mfcc_std9,mfcc_std10,mfcc_std11,mfcc_std12,mfcc_std13,duration,emotion,dataset
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_back_angry.wav,0.30461397767066956,0.041586630046367645,1991.035738148499,1159.988415758116,1.5639927818015542,2017.1157949861797,3432.1354652518658,2183.0429734544955,0.3614525662550416,0.08452367070895522,0.029832858970095702,-68.27694702148438,0.2190362960100174,0.058497183178220856,-384.7973327636719,54.390743255615234,-19.53107452392578,-9.90046501159668,-6.598841190338135,9.383207321166992,-26.92266845703125,-5.141402244567871,-11.862500190734863,-1.5278750658035278,-1.3999605178833008,2.287252187728882,0.4724389612674713,113.07736206054688,46.41482162475586,38.287757873535156,36.301082611083984,26.150983810424805,19.566993713378906,23.32634925842285,19.78129768371582,16.891357421875,12.690974235534668,14.387951850891113,10.32856559753418,13.844799041748047,1.539,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bar_angry.wav,0.2884006202220917,0.022691750898957253,1987.5013040401186,1281.385173124618,1.5257182283242166,2063.235798563064,3417.16552734375,2488.751190470023,0.5826723427922292,0.09304547991071428,0.04453118300971449,-66.91010284423828,0.12489624321460724,0.04410070624352222,-445.8779296875,67.17027282714844,-4.443016529083252,-18.495859146118164,-12.359994888305664,12.063743591308594,-11.404468536376953,0.4114290177822113,-14.189180374145508,4.521748065948486,-11.18693733215332,11.601078987121582,-2.346869468688965,113.74797058105469,61.08710479736328,32.80392074584961,43.009029388427734,26.41057586669922,24.989946365356445,22.40808868408203,21.964773178100586,15.927617073059082,15.147298812866211,16.392724990844727,12.115740776062012,12.927884101867676,1.617,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_base_angry.wav,0.28922247886657715,0.029976841062307358,2723.40957655361,1588.1278761654874,0.747353771534625,2353.8048760330644,4889.161978194963,2678.9222207137177,-0.21231416751737217,0.13555999300373134,-0.010257269085151089,-66.33161926269531,0.17098547518253326,0.07477450316850037,-403.93621826171875,28.718576431274414,-7.473484516143799,2.0294809341430664,-3.372095823287964,3.301564931869507,-21.609283447265625,-0.1485443413257599,-15.430742263793945,1.159027099609375,-14.78838062286377,9.76115608215332,-2.795736312866211,101.53436279296875,48.24853515625,29.90857696533203,29.774673461914062,24.518030166625977,22.2474365234375,24.215457916259766,19.548919677734375,15.72651195526123,16.379878997802734,14.717764854431152,12.090543746948242,11.496481895446777,1.542,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bath_angry.wav,0.29671937227249146,0.04317397624254227,2275.320176314919,1554.384246840673,1.3093250333695567,2107.335239654753,3934.7314453125,2787.196486657799,0.6039499262232876,0.1041015625,0.02343331377910966,-68.04000091552734,0.2171791046857834,0.05365059837768388,-385.0848693847656,54.63274383544922,-13.772361755371094,-11.752617835998535,-6.109864234924316,8.991345405578613,-23.839555740356445,-5.5722479820251465,-15.371477127075195,-1.1496282815933228,-3.6113224029541016,3.2996933460235596,-1.2461795806884766,111.07982635498047,52.339149475097656,40.333621978759766,32.38420486450195,23.74949073791504,16.148338317871094,24.15906524658203,21.97547149658203,13.469894409179688,11.716267585754395,14.862090110778809,9.143263816833496,11.380243301391602,1.607,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bean_angry.wav,0.24504083395004272,0.030608266592025757,2159.057730526956,1343.7397411250897,1.1112141570885392,2152.1926481771,4028.827004354508,2672.9993131381298,-0.013337503209670339,0.08120677510245902,-0.03442881991465204,-65.81517028808594,0.16427144408226013,0.05463182123544818,-399.77178955078125,53.635093688964844,1.6034610271453857,10.37926959991455,2.179147958755493,2.4315640926361084,-25.834016799926758,9.105446815490723,-21.106884002685547,-10.876421928405762,-12.90791130065918,-0.34018826484680176,-6.270634651184082,93.52667999267578,48.67151641845703,33.376827239990234,34.337615966796875,23.725446701049805,19.513145446777344,22.70368003845215,20.7322940826416,16.9340763092041,14.882850646972656,11.784510612487793,11.664481163024902,11.526074409484863,1.395,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_beg_angry.wav,0.29225337505340576,0.028352543711662292,2003.3989986931304,1172.3761652246687,1.5731182915439315,2199.595027492978,3774.41697761194,2281.700158199242,0.3344768764528169,0.07216359608208955,0.031160172431797615,-66.60773468017578,0.14687339961528778,0.04242826670149452,-428.05816650390625,50.86995315551758,-7.367077827453613,0.9869632720947266,4.308419227600098,5.2882771492004395,-28.200363159179688,-1.3069559335708618,-12.462996482849121,-2.5111210346221924,-12.050654411315918,11.351022720336914,-0.8588289618492126,116.6828842163086,43.11281204223633,36.26287841796875,28.271127700805664,22.248424530029297,21.144996643066406,24.327312469482422,17.838876724243164,15.713640213012695,12.289226531982422,14.321087837219238,11.37278938293457,11.289726257324219,1.546,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bite_angry.wav,0.2636823058128357,0.042433593422174454,1966.2884861731884,1160.8190221876328,1.42340535442317,2067.2306179759134,3478.8278887348793,2298.3703819606826,0.4457954527161335,0.07935357862903226,-0.03216933041642,-67.61444091796875,0.21114511787891388,0.03701780649918826,-395.3104248046875,54.29288864135742,-13.704079627990723,0.3041311204433441,-6.738198757171631,0.3468693196773529,-25.014802932739258,3.0106194019317627,-14.785653114318848,0.6363149881362915,-13.303093910217285,7.821085453033447,-6.8743157386779785,115.28793334960938,43.385414123535156,34.84749984741211,30.081310272216797,30.078327178955078,20.84442901611328,25.462804794311523,18.514841079711914,15.9180269241333,15.35118293762207,15.422065734863281,13.22799015045166,14.416895866394043,1.431,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_boat_angry.wav,0.24609120190143585,0.03582083433866501,1776.7062610888752,1430.3747311686407,1.8092565381542287,1898.2469866005026,2855.005724676724,2514.5681424898503,1.0272432411889725,0.08571019665948276,0.04526006465549754,-67.74750518798828,0.15838171541690826,0.07905124243170997,-429.949462890625,74.42033386230469,6.968074798583984,-6.645269870758057,-11.260725021362305,2.127077102661133,-18.454362869262695,2.3419032096862793,-20.205020904541016,-4.901106834411621,-11.586641311645508,1.7174139022827148,-3.660811424255371,103.52445220947266,56.06184387207031,29.95231056213379,31.16921043395996,33.92985534667969,24.983760833740234,24.152355194091797,23.23830795288086,15.135507583618164,13.13766860961914,13.334202766418457,12.378273963928223,10.343388557434082,1.327,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_bone_angry.wav,0.2518931031227112,0.04998709633946419,1871.4691225809115,1461.0160799982855,1.6449505696499822,2059.761103314637,3232.8216552734375,2730.0105972807446,0.6318355269521093,0.08272298177083333,0.03432565545810761,-68.68010711669922,0.23293998837471008,0.05835923919170587,-391.17327880859375,61.43640899658203,16.917375564575195,0.6017920970916748,-18.47698211669922,-1.6817346811294556,-12.805903434753418,3.180651903152466,-21.58396339416504,2.4979519844055176,-15.112346649169922,2.5059759616851807,-4.01502799987793,109.58346557617188,55.66810607910156,27.94632339477539,25.651611328125,33.25517654418945,27.704761505126953,23.14631462097168,22.855457305908203,18.01142120361328,14.773637771606445,14.51019287109375,14.310548782348633,10.612527847290039,1.665,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_book_angry.wav,0.31503215432167053,0.034940075129270554,2146.1761830818514,1230.8625205737753,1.3174790750473722,2263.7012255446234,4056.072443181818,2329.838953655583,0.22062325370228708,0.08783143939393939,-0.01955024750209976,-66.97196960449219,0.19629114866256714,0.06414682997261134,-403.46539306640625,46.75260925292969,-8.201807975769043,-12.136979103088379,-11.301774978637695,8.992218971252441,-19.852216720581055,-1.2749276161193848,-19.98411750793457,-2.8029963970184326,-10.49513053894043,13.20954418182373,-0.05981612950563431,119.49402618408203,48.34556198120117,29.273534774780273,31.570802688598633,32.73325729370117,21.585622787475586,21.785274505615234,20.962209701538086,16.61271095275879,13.06142520904541,15.484240531921387,16.594392776489258,11.728615760803223,1.53,angry,TESS
